ticket_id,timestamp,channel,route_id,raw_text,category,severity,is_urgent,resolved
C0118,2025-02-25 03:12,Call,R7,"Bus on R7 was 14 minutes late this morning, no announcement.",Delay,Medium,False,True
C0119,2025-02-17 03:15,SMS,R21,Is R21 running during the public holiday?,Other,Medium,False,False
C0120,2025-03-05 00:58,WhatsApp,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0121,2025-02-19 07:46,Call,R12,Is R12 running during the public holiday?,Other,Low,False,False
C0122,2025-02-08 13:18,SMS,R9,Operator OP-117 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0123,2025-02-20 11:08,SMS,R3,Why did I pay 570 Le when the board says the fare is lower?,Overcharging,Medium,False,True
C0124,2025-03-20 04:43,SMS,R12,Operator OP-108 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0125,2025-02-05 06:51,Call,R14,Where can I get the timetable for R14?,Other,Low,False,True
C0126,2025-03-09 03:59,InPerson,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,High,True,True
C0127,2025-02-09 15:59,WhatsApp,R7,"Waited almost an hour for R7, completely unacceptable.",Delay,Medium,False,False
C0128,2025-03-17 05:15,WhatsApp,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,False
C0129,2025-03-23 14:45,WhatsApp,R21,"Bus on R21 was 26 minutes late this morning, no announcement.",Delay,Low,False,False
C0130,2025-03-01 10:21,WhatsApp,R9,Operator OP-110 is collecting extra money and refusing change.,Overcharging,Low,False,False
C0131,2025-03-14 20:17,SMS,R14,Operator OP-119 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0132,2025-03-27 07:22,Call,R7,"Operator OP-109 let too many standing passengers, felt unsafe.",Safety,High,True,False
C0133,2025-03-29 04:09,Call,R7,The R7 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0134,2025-03-15 06:32,Call,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0135,2025-02-27 17:18,SMS,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,High,True,True
C0136,2025-02-11 21:16,Call,R3,R3 never showed at the scheduled time again.,Delay,Medium,False,False
C0137,2025-03-08 13:23,InPerson,R3,Operator OP-104 staff refused to help with my luggage.,Staff Conduct,High,True,False
C0138,2025-02-16 01:37,Call,R21,The R21 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0139,2025-02-19 04:21,WhatsApp,R12,Operator OP-117 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0140,2025-03-07 22:03,SMS,R21,Operator OP-113 staff refused to help with my luggage.,Staff Conduct,High,True,True
C0141,2025-02-10 08:44,SMS,R9,Conductor on R9 charged me 1424 Le above the posted fare.,Overcharging,Medium,False,True
C0142,2025-03-18 01:53,SMS,R9,Where can I get the timetable for R9?,Other,Medium,False,False
C0143,2025-03-16 03:04,SMS,R12,Why did I pay 1093 Le when the board says the fare is lower?,Overcharging,Low,False,False
C0144,2025-02-20 12:13,SMS,R12,R12 never showed at the scheduled time again.,Delay,High,True,False
C0145,2025-02-13 23:57,Call,R9,"The R9 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0146,2025-03-16 11:42,WhatsApp,R12,R12 never showed at the scheduled time again.,Delay,High,True,True
C0147,2025-04-03 08:50,WhatsApp,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,True
C0148,2025-04-04 02:46,SMS,R21,Conductor on R21 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0149,2025-03-02 21:59,WhatsApp,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,False
C0150,2025-03-25 10:41,SMS,R3,R3 never showed at the scheduled time again.,Delay,Low,False,True
C0151,2025-02-03 07:32,InPerson,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,True
C0152,2025-02-10 16:58,Call,R21,"Waited almost an hour for R21, completely unacceptable.",Delay,Low,False,False
C0153,2025-02-25 05:55,SMS,R7,R7 never showed at the scheduled time again.,Delay,Low,False,False
C0154,2025-04-02 05:52,WhatsApp,R7,Operator OP-105 staff refused to help with my luggage.,Staff Conduct,High,True,True
C0155,2025-04-04 03:48,SMS,R9,"Bus on R9 was 23 minutes late this morning, no announcement.",Delay,Low,False,True
C0156,2025-03-23 03:20,WhatsApp,R7,"I left my phone on the R7 bus this afternoon, please help.",Lost Item,Medium,True,True
C0157,2025-02-08 14:48,Call,R14,Operator OP-105 is collecting extra money and refusing change.,Overcharging,Medium,False,True
C0158,2025-02-03 14:09,Call,R12,Why did I pay 514 Le when the board says the fare is lower?,Overcharging,High,True,True
C0159,2025-03-05 05:04,WhatsApp,R12,"Operator OP-115 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0160,2025-02-27 02:01,Call,R9,Rubbish all over the floor of the R9 vehicle.,Cleanliness,Low,False,False
C0161,2025-02-12 12:21,Call,R12,"I left my phone on the R12 bus this afternoon, please help.",Lost Item,Medium,True,True
C0162,2025-03-15 07:01,InPerson,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,High,True,True
C0163,2025-03-19 03:12,SMS,R9,Conductor on R9 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0164,2025-03-06 06:53,WhatsApp,R21,"I left my phone on the R21 bus this afternoon, please help.",Lost Item,High,True,False
C0165,2025-03-27 03:13,SMS,R7,Why did I pay 1865 Le when the board says the fare is lower?,Overcharging,High,True,False
C0166,2025-03-14 19:55,InPerson,R9,"Lost a bag of documents on R9, who do I contact?",Lost Item,High,True,True
C0167,2025-02-09 09:58,Call,R12,Operator OP-120 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0168,2025-02-10 20:56,WhatsApp,R7,Operator OP-112 is collecting extra money and refusing change.,Overcharging,Low,False,True
C0169,2025-02-12 17:12,SMS,R7,"Operator OP-113 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0170,2025-02-04 14:26,Call,R9,Rubbish all over the floor of the R9 vehicle.,Cleanliness,Medium,False,True
C0171,2025-03-04 21:37,Call,R14,"The R14 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0172,2025-03-31 08:37,WhatsApp,R9,"Operator OP-111 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0173,2025-02-24 10:42,InPerson,R12,Rubbish all over the floor of the R12 vehicle.,Cleanliness,Medium,False,False
C0174,2025-02-21 20:16,Call,R3,R3 never showed at the scheduled time again.,Delay,Medium,False,True
C0175,2025-02-18 18:04,Call,R14,"Lost a bag of documents on R14, who do I contact?",Lost Item,Medium,True,True
C0176,2025-02-07 14:23,SMS,R9,Is R9 running during the public holiday?,Other,Low,False,True
C0177,2025-02-25 11:33,WhatsApp,R9,Conductor on R9 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0178,2025-02-04 07:46,SMS,R12,R12 never showed at the scheduled time again.,Delay,Low,False,True
C0179,2025-02-24 08:12,InPerson,R3,"Waited almost an hour for R3, completely unacceptable.",Delay,Low,False,False
C0180,2025-03-25 01:00,WhatsApp,R9,Is R9 running during the public holiday?,Other,Low,False,True
C0181,2025-02-04 15:36,WhatsApp,R7,"Operator OP-102 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0182,2025-02-13 16:52,Call,R9,Conductor on R9 was rude and shouting at an elderly woman.,Staff Conduct,High,True,True
C0183,2025-03-23 17:35,Call,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,Low,False,True
C0184,2025-03-19 05:20,SMS,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0185,2025-03-02 13:43,SMS,R12,Why did I pay 1561 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0186,2025-03-18 06:06,SMS,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0187,2025-02-10 08:58,SMS,R3,R3 never showed at the scheduled time again.,Delay,Medium,False,True
C0188,2025-02-17 05:03,Call,R12,"Operator OP-111 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0189,2025-02-13 21:58,SMS,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,True
C0190,2025-02-16 22:57,Call,R9,Conductor on R9 charged me 967 Le above the posted fare.,Overcharging,Medium,False,True
C0191,2025-03-03 01:10,SMS,R7,R7 never showed at the scheduled time again.,Delay,Low,False,False
C0192,2025-03-23 11:07,Call,R14,Operator OP-116 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0193,2025-02-05 12:30,SMS,R14,Operator OP-108 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0194,2025-03-07 19:18,WhatsApp,R3,R3 never showed at the scheduled time again.,Delay,Low,False,True
C0195,2025-02-28 16:01,SMS,R12,Why did I pay 2649 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0196,2025-02-25 01:25,SMS,R12,R12 never showed at the scheduled time again.,Delay,Low,False,True
C0197,2025-02-07 09:40,WhatsApp,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0198,2025-02-16 21:55,InPerson,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Low,False,True
C0199,2025-03-19 03:43,SMS,R14,R14 never showed at the scheduled time again.,Delay,Medium,False,True
C0200,2025-02-21 17:34,WhatsApp,R7,R7 never showed at the scheduled time again.,Delay,Low,False,False
C0201,2025-03-16 18:50,SMS,R21,Operator OP-110 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0202,2025-02-16 18:13,SMS,R21,"Bus on R21 was 53 minutes late this morning, no announcement.",Delay,Low,False,True
C0203,2025-03-29 06:36,InPerson,R14,"Bus on R14 was 45 minutes late this morning, no announcement.",Delay,Low,False,False
C0204,2025-04-02 17:06,WhatsApp,R9,"Bus on R9 was 48 minutes late this morning, no announcement.",Delay,Medium,False,False
C0205,2025-02-18 11:44,SMS,R7,R7 never showed at the scheduled time again.,Delay,Medium,False,True
C0206,2025-02-19 18:27,SMS,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0207,2025-03-27 11:00,Call,R7,"The R7 bus was filthy, seats torn and smelling.",Cleanliness,High,True,True
C0208,2025-03-11 13:00,SMS,R14,Conductor on R14 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,False
C0209,2025-02-17 15:14,SMS,R21,"Bus on R21 was 29 minutes late this morning, no announcement.",Delay,Low,False,True
C0210,2025-03-06 22:15,WhatsApp,R21,R21 never showed at the scheduled time again.,Delay,Medium,False,False
C0211,2025-02-04 21:31,Call,R12,Why did I pay 719 Le when the board says the fare is lower?,Overcharging,Low,False,False
C0212,2025-03-26 06:38,SMS,R9,Where can I get the timetable for R9?,Other,Medium,False,True
C0213,2025-02-10 13:02,SMS,R21,Conductor on R21 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0214,2025-03-06 10:15,SMS,R12,"I left my phone on the R12 bus this afternoon, please help.",Lost Item,Medium,True,True
C0215,2025-02-15 23:31,Call,R9,Why did I pay 1436 Le when the board says the fare is lower?,Overcharging,Low,False,True
C0216,2025-02-04 16:01,SMS,R9,Driver on R9 was speeding and overtaking dangerously.,Safety,Medium,True,True
C0217,2025-03-25 01:21,Call,R9,"I left my phone on the R9 bus this afternoon, please help.",Lost Item,High,True,True
C0218,2025-02-04 21:48,SMS,R9,Driver on R9 was speeding and overtaking dangerously.,Safety,High,True,False
C0219,2025-03-04 17:35,InPerson,R7,"Lost a bag of documents on R7, who do I contact?",Lost Item,High,True,True
C0220,2025-02-14 15:35,SMS,R7,Operator OP-101 is collecting extra money and refusing change.,Overcharging,Low,False,False
C0221,2025-02-27 09:02,WhatsApp,R21,The R21 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0222,2025-02-09 22:29,SMS,R7,Operator OP-103 is collecting extra money and refusing change.,Overcharging,Medium,False,False
C0223,2025-03-19 02:19,SMS,R7,Operator OP-110 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0224,2025-04-01 17:05,Call,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0225,2025-03-24 01:53,WhatsApp,R21,"Lost a bag of documents on R21, who do I contact?",Lost Item,Low,True,True
C0226,2025-03-08 03:49,WhatsApp,R14,"Lost a bag of documents on R14, who do I contact?",Lost Item,High,True,True
C0227,2025-02-03 13:58,Call,R14,Driver on R14 was speeding and overtaking dangerously.,Safety,High,True,False
C0228,2025-02-26 15:07,SMS,R9,"Bus on R9 was 16 minutes late this morning, no announcement.",Delay,Medium,False,True
C0229,2025-03-04 15:46,Call,R12,Rubbish all over the floor of the R12 vehicle.,Cleanliness,Low,False,True
C0230,2025-03-24 19:16,SMS,R14,Where can I get the timetable for R14?,Other,Low,False,True
C0231,2025-03-14 12:58,WhatsApp,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0232,2025-02-26 03:50,InPerson,R7,Where can I get the timetable for R7?,Other,Low,False,False
C0233,2025-02-15 04:29,SMS,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0234,2025-02-07 22:08,SMS,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0235,2025-03-22 20:13,SMS,R14,Driver on R14 was speeding and overtaking dangerously.,Safety,High,True,False
C0236,2025-02-08 15:46,WhatsApp,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0237,2025-04-01 20:39,InPerson,R12,"Bus on R12 was 43 minutes late this morning, no announcement.",Delay,Low,False,False
C0238,2025-03-14 07:04,Call,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Medium,False,True
C0239,2025-03-08 11:11,SMS,R3,Driver on R3 was speeding and overtaking dangerously.,Safety,Low,True,True
C0240,2025-02-04 20:33,Call,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Low,False,True
C0241,2025-02-07 14:54,SMS,R21,Rubbish all over the floor of the R21 vehicle.,Cleanliness,Low,False,True
C0242,2025-02-12 07:23,Call,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0243,2025-04-03 13:01,SMS,R12,Operator OP-115 staff refused to help with my luggage.,Staff Conduct,High,True,True
C0244,2025-03-05 23:07,SMS,R7,R7 never showed at the scheduled time again.,Delay,Low,False,True
C0245,2025-02-28 12:33,Call,R3,"Operator OP-113 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0246,2025-02-22 11:46,SMS,R9,R9 never showed at the scheduled time again.,Delay,Medium,False,True
C0247,2025-02-10 13:16,SMS,R7,"Operator OP-104 let too many standing passengers, felt unsafe.",Safety,High,True,False
